Banking & Capital Markets,Business,Canada,Fiscal Crises,,Systemic Financial Risk,,International Monetary System,,Innovation,,Education,,Europe & Central Asia,,North America,,China,,Insurance & Asset Management,,Public & Institutional Investors,,Private Fund Managers,
Design,Business,Denmark,Innovation,,Climate Change,,Competitiveness,,Social Innovation,,Informed Societies,,China,,North America,,Africa,,Consumer,,Automotive,,"Aviation, Travel & Tourism",
Geopolitical Risk,Business,United States of America,Catastrophic Risks,,Climate Change,,Ageing,,Systemic Financial Risk,,Food Security,,China,,Middle East & North Africa,,Africa,,Banking & Capital Markets,,Logistics & Supply Chain,,Mining & Metals,
China,Business,People's Republic of China,Emerging Technologies,,Energy Security,,Climate Change,,Ecosystems & Biodiversity,,Innovation,,China,,Europe & Central Asia,,North America,,Banking & Capital Markets,,Insurance & Asset Management,,Private Fund Managers,
Illicit Trade,International Organization,United Kingdom of Great Britain and Northern Ireland,Poverty & Economic Development,"Illicit trade circumvents proper economic performance, fiscal flows and links into or causes and enhances general social degradation.",Geopolitical Risk,illicit trade exacerbates global imbalances of an economic political and social nature,Fiscal Crises,illicit trade generally disrupts the fiscal flows upon which national economic performance depends and consequential adverse impacts arise.,Anti-Corruption,illicit trade probably occurs in part through corruption - one feeds off the other.,Organized Crime,"illicit trade is at best grey entrepreneurship and at worst serious and organised crime, with its attendant impacts",North America,USA is key to current global organisation and deployment of resources. Without USA 'on side' progress will be slower than optimal,China,"big player of the future especially, and apparently linked to illicit trade of a growing nature",Europe & Central Asia,"an area of great instability, therefore more exposed to the effects of illicit trade and its linkage with extremism than many areas. However, a global problem which touches all regions - possibly differently or with similarities.",Consumer,"the world population is made up of consumers, a body key to the demand side of illicit trade",Public & Institutional Investors,investment and confidence will be impacted by any lack of control over illicit trade and its drivers,Logistics & Supply Chain,"a key part of the problem overall, but not perhaps the 'cause'"
Middle East & North Africa,Government,United Arab Emirates,Informed Societies,,Poverty & Economic Development,,Women’s Empowerment,,Skills & Talent Mobility,,Institutional Governance Systems,,North America,,China,,Europe & Central Asia,,"Media, Entertainment & Information",,Public & Institutional Investors,,Banking & Capital Markets,
Systemic Financial Risk,Other,United States of America,Informed Societies,,Education,,Geopolitical Risk,,Fragile States,,Energy Security,,China,,India,,Latin America,,Banking & Capital Markets,,Insurance & Asset Management,,Public & Institutional Investors,
Real Estate,Academia,United States of America,Systemic Financial Risk,,Urbanization,,Role of Business,,Population Growth,,Design,,North America,,Europe & Central Asia,,China,,Banking & Capital Markets,,Public & Institutional Investors,,Private Fund Managers,
Illicit Trade,International Organization,Brazil,Migration,Given the growth in migration of people looking for better opportunities there is a greater risk of involving more illicit trafficking in human beings for sexual exploitation or for forced labour,Fragile States,The lack of a fair and efficient criminal justice system in fragile states makes it a fertile ground for recruitment and transit of trafficked persons for sexual exploitation or for forced labour,Organized Crime,Illicit trafficking in persons is ussually carried out by organized criminal groups.,Women’s Empowerment,"If women are empowered and given proper opportunities, they are not easy target for traffickers",Anti-Corruption,Illicit trade proliferates when anti-corruption measures are not in place,Latin America,"This region is marked by illicit trafficking in human beings, wildlife flora and fauna and illegal logging of timber",Africa,Most least developped countries are in Africa and they do not have a functioning justice system capable of prosecuting traffickers,Europe & Central Asia,Illicit drug trafficking of heroin from Afghanistan to Europe,"Aviation, Travel & Tourism",Illicit trafficking in women can only be curbed with the effective cooperation of this industry agenda,Banking & Capital Markets,This sector will help in the investigation of money laundered in illicit trafficking in human beings,"Media, Entertainment & Information","The media can play an important role in disseminating cases of illicit trafficking of any kind and alert authorities to act as. In addition, it can raise awareness of the international community to the problem in question."
Competitiveness,Business,United Kingdom of Great Britain and Northern Ireland,Emerging Technologies,Competitiveness at its root is about ideas and people - understanding how new technologies can change industry structures and value chains is critical for future competitiveness,Innovation,Successful organisations and countries will be able to tap into International innovation networks and ecosystems - understanding innovation best practice and future trends will be a key insight into drivers of competitiveness,Role of Business,"In a world where many Governments are under financial stress, business will need to adapt rapidily to a multi stakeholder mandate - the changing role of business will have a major impact on competitiveness",Skills & Talent Mobility,Most organisations are multi local and few are truly global in sourcing and using talent. Accessing skills which are fit for purpose from around the globe will be an important differentiator in the decade ahead,Trade,the global economy has flourished as trade has increased - the uncertainties to trade liberalisation and the threats of protectionism could have a major impact on the growth prospects of many countries and industries,China,The biggest potential new market and a major global player / competitor in many sectors - undertanding China will be absolutely vital for competitiveness,North America,North America will remain 25% of global GDP over the next 20 years - they are a dynamic economy which provides much technological leadership - but with a number of major political fault lines - the future of the global economy will rest to a large extent on how US and China interact,South-East Asia,"A new set of fast growing economies are developing from Singapore to indonesia, Vietnam and Malaysia - their increasing influence and different models of growth will be useful insights on the future models of competitiveness",Renewable Energy,Sustainable energy is one of the critical underpinnings of future growth in a world where energy demand will continue to rise. Meeting this challenge is a key part of competitiveness,Telecom,Mobile penetration will soon be over 5 billion  persons - data will double every 18 months in this decade and machine to machine communication will expand faster than personal mobile telephony. These are game changing trends which will change sources of future value in many industries,Banking & Capital Markets,The future of the banking sector is critical for financing trade and innovation. The new rules and regulatory structures for banks will have a large bearing on future winners and losers
Ocean Governance,NGO,Argentina,Values,"Governance reflects values directly and is determined by values re. societies, individuals, etc.",Population Growth,A critical variable perceived to be too difficult to address but unavoidable in any strategy on governance,Ecosystems & Biodiversity,,Climate Change,,Conflict Prevention,Governance will be effective if conflicts are managed first,Latin America,... is the area where I live and work... but Brazil is emerging as one of the 2-3 most influential countries in the world. Chile and Peru are among the first fishing countries in the world. Temperate biodiversity is not well preserved. The Argentine sea has the largest continental shelf in the southern hemisphere,South-East Asia,,China,,"Media, Entertainment & Information","Governance of the ocean requires que ocean to be ""seen"". Media has been hesitant about showing the destruction of the ocean ecosystems",Consumer,,Logistics & Supply Chain,Most of what is fished in the most abundant oceans is consumed far
Future of Government,Academia,Japan,Institutional Governance Systems,need strong governance  for institutional capacity,Innovation,,Competitiveness,,International Legal System,,Employment & Social Protection,,Japan,,China,,Europe & Central Asia,,Automotive,,Health,,Telecom,
Intellectual Property System,Academia,Singapore,Innovation,,Competitiveness,,Trade,,Emerging Technologies,,Informed Societies,,North America,,China,,India,,Health,,"Media, Entertainment & Information",,Consumer,
Ocean Governance,NGO,United States of America,Trade,,,,,,,,,,Latin America,,India,,China,,,,,,,
Employment & Social Protection,Other,France,Education,,Skills & Talent Mobility,,Poverty & Economic Development,,Benchmarking Progress,,Migration,,Korea,,Europe & Central Asia,,North America,,Banking & Capital Markets,,Health,,Renewable Energy,
Intellectual Property System,Business,Switzerland,Innovation,,Emerging Technologies,,Competitiveness,,Values,,Chronic Diseases & Well-being,,India,,China,,Europe & Central Asia,,Health,,"Media, Entertainment & Information",,Private Fund Managers,
Korea,Government,Republic of Korea,Geopolitical Risk,The Korean Peninsula and its surrounding region is subject to great geopoitical risks.,Poverty & Economic Development,South Korea's experience in overcoming poverty and achieving economic development is relevant to this issue.,Weapons of Mass Destruction,North Korea's WMD programs are of great concern to the international community.,Human Rights,,Trade,,China,,Japan,,South-East Asia,,Renewable Energy,,"Media, Entertainment & Information",,Banking & Capital Markets,
Catastrophic Risks,Government,Japan,Food Security,"If the food production system deteriorates in the near decades, it will lead to a global catastrophe.",Water Security,Water security must be seen as the most important component to avoid global food shortage which may lead to global catastrophe.,Humanitarian Assistance,,Emerging Technologies,Emerging technologies may give humankind greater possibilities to avoid global catastrophes.,Population Growth,,China,We have witnessed several catastrophic disasters in China recently.,Africa,,Latin America,,Logistics & Supply Chain,The Iceland volcanic eruption demonstrated how one incident can paralyze the international travel and logistics and may lead to a global catastrophe.,"Aviation, Travel & Tourism",The Iceland volcanic eruption demonstrated how one incident can paralyze the international travel and logistics and may lead to a global catastrophe.,"Media, Entertainment & Information",The media can play a big role in sensitizing the world to be aware of potential risk and to urge them to be prepared.
Future of Government,Business,United Arab Emirates,Poverty & Economic Development,,Institutional Governance Systems,,Competitiveness,,Education,,Urbanization,,,,,,,,Public & Institutional Investors,,,,,
Emerging Technologies,Business,United Kingdom of Great Britain and Northern Ireland,Innovation,,Energy Security,,Water Security,,Food Security,,Catastrophic Risks,,North America,,Latin America,,Europe & Central Asia,,Renewable Energy,,Logistics & Supply Chain,,Public & Institutional Investors,
Social Innovation,Business,Egypt,Next Generation,,Competitiveness,,Poverty & Economic Development,,Food Security,,Climate Change,,Middle East & North Africa,,Europe & Central Asia,,Africa,,Renewable Energy,,Consumer,,Logistics & Supply Chain,
Terrorism,Academia,United States of America,Conflict Prevention,Prevention of terrorism is a priority.  It is a threat in its own right and it exacerbates civil conflict and makes it harder to end.,Fragile States,"Weak, poorly governed, failed, or failing states are thought to be safe havens for terrorism.",Weapons of Mass Destruction,"Since the United States considers nuclear terrorism a key national security threat, the link between terrorism and ""WMD"" should be carefully explored.",Organized Crime,Links between politically motivated organizations employing terrorism and organized crime make both forms of illicit violent activity more difficult to control.,Anti-Corruption,,Middle East & North Africa,The threat of Al Qaida and affiliated groups is manifest.,India,India faces serious threats from jihadist as well as Naxalite groups.,Africa,"Al Qaida appears to have growing influence, and the United States is keenly concerned as part of its counterterrorism policies.","Aviation, Travel & Tourism",Terrorism is a particular danger for this industry area.,,,,
Food Security,Academia,Germany,Poverty & Economic Development,access to food is a poverty issue,Employment & Social Protection,,Trade,,,,,,Africa,,India,,South-East Asia,,Consumer,,Private Fund Managers,,Logistics & Supply Chain,
Values,Business,Japan,Anti-Corruption,,Competitiveness,,Role of Business,,Women’s Empowerment,,Energy Security,,China,,North America,,Japan,,Renewable Energy,,Health,,"Media, Entertainment & Information",
"Media, Entertainment & Information",Business,Mexico,Values,,Poverty & Economic Development,,Innovation,,Social Innovation,,Next Generation,,China,,Africa,,Latin America,,Telecom,,Private Fund Managers,,Renewable Energy,
Future of Government,Business,United States of America,Next Generation,The next generation IS the future.,Emerging Technologies,"New and emerging technologies are key drivers for the future, and governments have to embrace them.",Institutional Governance Systems,"These are the very systems that must be changed, advanced, enhanced, or done away with entirely for future governments to be effective.",Innovation,Government must innovate to be effective and relevant--let alone survive--now and in the future.,Informed Societies,Critical for good and effective government.,Europe & Central Asia,"[Note--Regional seems not so relevant for Future of Government GAC] Europe and Central Asia undergoing major changes, and still influential.",China,"Impacting the largest population, and no doubt a continuing major global player/presence in the future.",North America,Old guard but still very influential--needs to lead change for the future.,"Media, Entertainment & Information",Access to information/media will be paramount in the future.,Health,"Global, shared issue well within the domain of government.",Telecom,Changing the way governments govern and engage with citizens.
Korea,Business,United States of America,Role of Business,,Anti-Corruption,,Internet Security,,Food Security,,Migration,,North America,,China,,Middle East & North Africa,,Real Estate,,"Media, Entertainment & Information",,Renewable Energy,
North America,Business,United States of America,Anti-Corruption,,Competitiveness,,Geopolitical Risk,,International Monetary System,,Fiscal Crises,,China,,Latin America,,Europe & Central Asia,,Banking & Capital Markets,,Insurance & Asset Management,,Public & Institutional Investors,
Emerging Technologies,Government,France,Intellectual Property System,Open source versus IPR : a renewed approach is necessary to overcome innovation deadlocks,Design,"Many criterias for  supply differenciation involving  a non necessarily level playing field between Western countries and ""BRIC""s countries",Weapons of Mass Destruction,Transparency and trust in emer ging technologies may enter in conflict with an institutionnal or non institutionnal WMDs agenda.,Education,"Knowledge, skills and job expectations are prerequisites for an efficient, safe and responsible development of emerging technologies",Informed Societies,"Consumers and societal dimensions to be taken seriously into account from the beginning, addressing splits of values around the different regions of the world markets and governance areas",India,"Emerging technologies rely on software, simulation and modelling more than  on raw and refined ""materials"". India will be on the cutting edge there",China,From manufacture to design,Korea,Weight of micro-nanotechnologies in ICTs and education to  immersive practices,Consumer,"Responsible innovation for end consumers and cascade of responsiblities for industrial customers, as pre requisites for markets","Media, Entertainment & Information","Shaping opinions, anticipations, risk tolerance, investments...",Renewable Energy,"Unlocking the energy deadlock, easing geopolitical claims, enterign a complete redesign of global energy/ Natural resources governance within G20  backed by OECD for instance"
Intellectual Property System,Academia,Japan,Innovation,"Naturally, the Council on the Intellectual Property System should interact and collaborate closely with the Council on Innovation as the Intellectual Property System has an impact on stimulating and driving innovation.",Trade,Trade can be seen in close connection to the discussion about innovation and will be influenced by the future of the Intellectual Property System.,Internet Security,"Many questions within the Council on the Intellectual Property System will have to be discussed in relation to and in the context of the future of the Internet. Cloud Computing being only one of the hot topics in the current debate around business models and next steps of the Internet will rise many questions related to the Intellectual Property system (Copyright, Interoperability, Conflict of Laws etc)",Competitiveness,,Emerging Technologies,,China,,Europe & Central Asia,,North America,,"Media, Entertainment & Information",,Telecom,,Public & Institutional Investors,
"Media, Entertainment & Information",NGO,Saudi Arabia,Next Generation,,Conflict Prevention,,Women’s Empowerment,,Social Innovation,,Human Rights,,Middle East & North Africa,,North America,,South-East Asia,,Telecom,,Public & Institutional Investors,,Private Fund Managers,
Public & Institutional Investors,Academia,United States of America,Institutional Governance Systems,,Future of Government,,Social Innovation,,Role of Business,,,,North America,,China,,Middle East & North Africa,,Private Fund Managers,,Public & Institutional Investors,,Banking & Capital Markets,
Social Innovation,NGO,Mexico,Chronic Diseases & Well-being,,Education,,Human Rights,,Poverty & Economic Development,,Women’s Empowerment,,Latin America,,India,,North America,,"Media, Entertainment & Information",,Banking & Capital Markets,,Private Fund Managers,
Institutional Governance Systems,Academia,United States of America,Climate Change,,Role of Business,,Ocean Governance,,International Legal System,,Catastrophic Risks,,China,,India,,Europe & Central Asia,,Public & Institutional Investors,,Renewable Energy,,Banking & Capital Markets,
India,Other,United States of America,Emerging Multinationals,India is the home of a number of important emerging multinationals.,Trade,Expanding trade is critical to India's future development,,,,,,,China,India's biggest goods trade partner,North America,another major trade partner,,,Public & Institutional Investors,,Insurance & Asset Management,,Logistics & Supply Chain,
Values,NGO,Switzerland,Education,Values discussion and outcomes would find synergy and positive outcomes with the Education Council,Next Generation,Values discussion and outcomes would have strategic input for the goals setting agenda for the Nest Generation discussions,Human Rights,Values will have a natural interface with Human Rights,Conflict Prevention,Values could have insight to conflict prevention,Humanitarian Assistance,Values discussion could provide strategic input to the correlation between humanitarian assistance and conflct prevention,Middle East & North Africa,Value Council will be engaged in the discussion of values driven by Faith...essential discussion with the Middle East,Africa,Values Council will most likely find 'Good Governance' as essential for a values based agenda,South-East Asia,Values could bring strategic input to ongoing discussion on labor and dignity issues,Mining & Metals,Value discussion will bring strategic input to the issues associated human and environmental rights asscoicated with this body,"Aviation, Travel & Tourism",Values in terms of respect of cultures and environment,Consumer,Values discussion input towards how much is enough
Public & Institutional Investors,Business,United States of America,Innovation,Critical to understand modes of attracting institutional investment into innovation,International Legal System,Institutional investors need to understand the system of law and enforcement in countries where they propose to invest,Future of Government,The relationship of business to government - state capture - is critical to the stability of institutional investment,Role of Business,The extent to which business assumes a role in government changes the nature of a free society,Institutional Governance Systems,Meaningful accounability of companies and of institutional investors is the critical element for successful long term investment.,China,Investment opportunities,Europe & Central Asia,Investment opportunities,Japan,Institutional governance systems,Banking & Capital Markets,Essential for investment,Private Fund Managers,Partners for institutional investors,Insurance & Asset Management,COmplementary to institutional investment.
Renewable Energy,NGO,United Kingdom of Great Britain and Northern Ireland,Climate Change,,Energy Security,,Competitiveness,,Emerging Technologies,,Urbanization,,Europe & Central Asia,,Latin America,,South-East Asia,,Banking & Capital Markets,,Public & Institutional Investors,,Real Estate,
Population Growth,NGO,United States of America,Ageing,,Chronic Diseases & Well-being,,Education,,Employment & Social Protection,,Migration,,China,,Europe & Central Asia,,India,,Consumer,,Health,,Public & Institutional Investors,
Weapons of Mass Destruction,Academia,United States of America,Emerging Technologies,,International Legal System,,Skills & Talent Mobility,,Role of Business,,Terrorism,,China,,Europe & Central Asia,,North America,,Public & Institutional Investors,,"Media, Entertainment & Information",,Public & Institutional Investors,
Values,Business,United States of America,Values,,Conflict Prevention,,Trade,,Role of Business,,Space Security,,,,,,,,,,,,,
Education,Business,United States of America,Women’s Empowerment,Education of women and girls is becoming the key requirement for economic success of countries.  Focus on education and empowerment of women is vitally important.,Emerging Technologies,Technoloogy and education go hand in hand,Innovation,Innovation in Education is required to advance reach and scale with new technologies and methodologies.,Social Innovation,"Social innovators are making some of the greatest strides in education - charter movement, for profit schools, etc.",Anti-Corruption,In working with governments around the globe to inact educational reform it is imperative that anti-corruption efforts be in parallel to ensure higher likelyhood of success and mutual benefit.,Africa,,China,,Latin America,,Telecom,,,,,
Space Security,Business,United States of America,Innovation,,Role of Business,,Competitiveness,,Climate Change,,Emerging Technologies,,North America,,Europe & Central Asia,,Middle East & North Africa,,"Aviation, Travel & Tourism",,Insurance & Asset Management,,"Media, Entertainment & Information",
North America,Academia,United States of America,Human Rights,,Conflict Prevention,,Values,,International Legal System,,Weapons of Mass Destruction,,North America,,Europe & Central Asia,,Middle East & North Africa,,Telecom,,Banking & Capital Markets,,Renewable Energy,
Geopolitical Risk,NGO,United States of America,Catastrophic Risks,,Energy Security,,Fiscal Crises,,Terrorism,,Weapons of Mass Destruction,,China,,India,,Middle East & North Africa,,Logistics & Supply Chain,,Public & Institutional Investors,,Renewable Energy,
Health,Other,United States of America,Chronic Diseases & Well-being,"Improved health is the goal of people suffering from chronic diseases.  It leads to well being which subsequently leads to improved economic producitvity and an ""improved state of the world""",Catastrophic Risks,Global health requires dealing with potential catastrophic risks from infectious diseases (both novel and known) that occue on their own or as a result of destroyed infrastructure due to natural or man made disasters,Urbanization,"As people move from an agrarian life style to an urban life style the differences in food consumed, and activities engaged in (both vocational and avocational) has substantial impact on health.  One cannot improve health without an understanding of where people live and how they live.",Ageing,Everyone's goal is to age successfully with changing goals and opportunities.  Successful aging requires healththy people.,Human Rights,Health is a fundamental human right.,Africa,Africa is the center of the HIV AIDs epidemic and home to many cases of as yet uncontrolled infectious diseases.  Without improving health Africa cannot improve.,China,China has the world's largest aging population.,North America,North America is home to much of the medical knowledge and innovation that has the potential to improve health.,Logistics & Supply Chain,Health requires delivery of time critical goods and services.  Without a robust supply chain it is difficult to improve health.,"Aviation, Travel & Tourism","Infectious diseases are spread by people travelling.  As shown by SARS and H1N1 influenza, these diseases cannot be understood without understanding air travel.",Telecom,Communication of medical information is key to decision making.  Advanced telecom allows people to communicate information needed to adcance health.
International Legal System,Academia,Switzerland,Institutional Governance Systems,,Future of Government,,Human Rights,,Ocean Governance,,Role of Business,"I would have preferd a broader description like ""Role of private sector and civil society""",,None is more important than an other.,,,,,Banking & Capital Markets,,Consumer,,"Media, Entertainment & Information",
Internet Security,Business,United States of America,Emerging Technologies,"Having a reliable foundation of internet security is a catalyst for helping new technologies emerge,  reducing the barriers that hamper the growthrate of new techologies.",Innovation,Helping balance the challenges of innovators protecting their intellectual property while utilizing the broad reach of the Internet to sell or socialize ther innovations.,Education,eLearning and eResearch are key to advancing a nations knowledge.  Ensureing learning on the internet is safe and secure help overcome resistence to adopting 21st Century learning environments.,Role of Business,"Establishing safe automated environments that enforce ethical business practices establishes a foundation for innvotion, entrepreneurship and trade.",Future of Government,"Internet services are key for governments to convert invisible citizens into visible citizens driving the tax base, GDP and national competitiveness.",Africa,New submarine cables are poised to establish and explosion of Internet usage.  Getting ahead of both positive and negative activities could help enable more rapid adoption and reduce negative behaviors and impacts,Europe & Central Asia,Understanding the broad range of policies that impact security and sources of attacks on internet,North America,Much of the innovation for Internet security initiates in North America.,Telecom,Adding value added services that include Internet security.,Consumer,Security the digital environment of the average consumer,"Media, Entertainment & Information","Source, Security and Validity of Information is Key"
Future of Government,International Organization,United States of America,Institutional Governance Systems,,Innovation,,Informed Societies,,Anti-Corruption,,Benchmarking Progress,,Africa,,Latin America,,Europe & Central Asia,,Telecom,,"Media, Entertainment & Information",,,
Education,International Organization,United States of America,Employment & Social Protection,education is foundation for employment.,Women’s Empowerment,best investment with multiple returns is girls and womens education,Conflict Prevention,education is alternative to conflict; also builds out from conflict,Competitiveness,education strengthens capacity,Poverty & Economic Development,education reduces poverty; strengthens development,Africa,worst poverty indicators; hiv/aids awareness; reduce conflict,India,largest number of children out of school but constitutional right to education,Middle East & North Africa,build tolerance; reduce tensions,Health,health and education are foundation for development,Public & Institutional Investors,strengthen understanding of importance of investing in education,Telecom,use of technology for educational purposes
Consumer,Business,Brazil,Innovation,,Food Security,,Competitiveness,,Ecosystems & Biodiversity,,Social Innovation,,China,,Latin America,,Europe & Central Asia,,Health,,Logistics & Supply Chain,,"Media, Entertainment & Information",
Emerging Multinationals,Business,Germany,Competitiveness,Emerging multinationals find new ways to create competitive profiles globally,Trade,Multinationals are dependent on trade issues,Skills & Talent Mobility,"Skills and talents are a key basis for competitiveness, therefore also for multinationals",Intellectual Property System,Patent systems create intra-country and cross border protection of IP and therefore intangible assets,Institutional Governance Systems,Corporate governance standards are key to enable fast and efficient globalization,China,many emerging multinationals originate here,North America,key trade partners,Europe & Central Asia,key trade partners,Health,health is key area of innovation and therefore opportunities,Consumer,,Telecom,
North America,Other,United States of America,Systemic Financial Risk,,Competitiveness,,Weapons of Mass Destruction,,Climate Change,,Energy Security,,India,,China,,Latin America,,Banking & Capital Markets,,Renewable Energy,,Health,
Banking & Capital Markets,Business,United States of America,Competitiveness,,International Monetary System,,Role of Business,,Systemic Financial Risk,,Values,,Latin America,,China,,India,,Insurance & Asset Management,,Public & Institutional Investors,,Private Fund Managers,
Education,Academia,United States of America,Poverty & Economic Development,,Next Generation,,Competitiveness,,Humanitarian Assistance,,Innovation,,Latin America,,Middle East & North Africa,,China,,Telecom,,Health,,"Media, Entertainment & Information",
Urbanization,Academia,People's Republic of China,Innovation,,Climate Change,,Competitiveness,,Population Growth,,Institutional Governance Systems,,China,,Europe & Central Asia,,North America,,Public & Institutional Investors,,Real Estate,,Consumer,
Climate Change,Business,France,Innovation,Stimulating Innovation will be essential to accelerate development of relevant solutions against climate change,Role of Business,Let's not rely on Governments alone...,Next Generation,"Innovation will attempt at mitigating Climate Change, Next generation is the one that will have to adapt its behaviours to the unmitigated, with possible consequences on our future products and business beyond mityigation",Emerging Technologies,Merging Innovation and Next generation,,,China,"Given China (and India) challenge to ensure growth for the well being of their poulation, while making it green as well.",India,,,,"Aviation, Travel & Tourism",,Renewable Energy,,Automotive,As a competitor to AT&T for the same resources
Geopolitical Risk,Other,People's Republic of China,Conflict Prevention,,Fiscal Crises,,Geopolitical Risk,,International Monetary System,,Food Security,,China,,North America,,Middle East & North Africa,,Renewable Energy,,Banking & Capital Markets,,Telecom,
Energy Security,Academia,Japan,Climate Change,Energy and climate change are two sides of a coin.,Emerging Technologies,,Innovation,,Next Generation,,Values,,China,,North America,,Japan,,Renewable Energy,,Automotive,,Public & Institutional Investors,
Weapons of Mass Destruction,Academia,People's Republic of China,Terrorism,Nuclear terrorism,Geopolitical Risk,"Regional conflict leads to interests in WMD, which in turn complicates geopolitical risk",Energy Security,Nuclear enegy vs nuclear security threat and nuclear proliferation,Conflict Prevention,Nukes are related to national security and conflict issues,Institutional Governance Systems,MWD needs global response with institutional global governance,Korea,North Korea's nuclear issue,Middle East & North Africa,Iran's nuclear issue,India,India/Pakistan's nuclear issue,Renewable Energy,"The  more renewable energy is used, the less reason countries will need to seek other energy including nuclear energy, which is dual applicable.",Logistics & Supply Chain,Becase of nuclear export control concern.,Mining & Metals,Uranium mining is related to nuclear fissile materials
Middle East & North Africa,Government,Iraq,Terrorism,NATIONAL SECURITY AND TERRORISM,Energy Security,NATIONAL SECURITY AND ENERGY SECURITY,Water Security,NATIONAL SECURITY AND WATER SECURITY,Anti-Corruption,NATIONAL SECURITY AND ANTI CORRUPTION,Conflict Prevention,NATIONAL SECURITY AND CONFLICT PREVENTION,Middle East & North Africa,,South-East Asia,,Europe & Central Asia,,"Media, Entertainment & Information",,Renewable Energy,,Health,
Competitiveness,Academia,Venezuela,Future of Government,Many of the elements that limit competitiveness are under the responsibility of government. The ability to identify and address obstacles to competitivess is key and depends on the nature of the interaction between government and society.,Poverty & Economic Development,Poverty and lack of economic development is the consequence of low competitiveness.,Innovation,The capacity to change what is made and how it is made is key to competitiveness.,Organized Crime,This is a rapidly growing threat to the business environment on which competitiveness and governance depends.,Employment & Social Protection,A major determinant of competitiveness,China,China is the country most likely to affect the competitiveness of the rest of the world,Latin America,,India,,Logistics & Supply Chain,Key to competitiveness in a world of more complex products.,Private Fund Managers,A potential new form of financial integration into the world economy for many developing countries.,Mining & Metals,The leading export activity in many developing countries.
Education,Business,People's Republic of China,Education,,Emerging Multinationals,,Climate Change,,Human Rights,,Innovation,,China,,North America,,Middle East & North Africa,,Health,,"Media, Entertainment & Information",,Insurance & Asset Management,
Food Security,Business,Switzerland,Poverty & Economic Development,Global distribution of food,Trade,"I fact want to select ""Logistics and Supply Chain"" but cannot do it from the list.  Supply chain is key to shift product from region with ove-supply to regions with under-supply",Population Growth,Currently growth of food production is increasing at a lower rate than the total food demand increase rate. Population rate makes about 1/3 of that increased demand. The rest has to do with change in diet and biofuel,Climate Change,"Although we do not know yet full impact of climate change, it could induces geography shift of food production",Catastrophic Risks,Cat risk although sporadic has impact on short terms food security,Africa,,India,,South-East Asia,,Logistics & Supply Chain,As explained before,Banking & Capital Markets,Agriculture financing is key to incentive productivity growth,Insurance & Asset Management,good risk management tool do incentive investment into the Agricultural Supply Chain
Population Growth,Academia,United States of America,Poverty & Economic Development,countries with hi population growth  tend to be impoverished and undeveloped,Women’s Empowerment,female education and women's empowerment more generally has proven an effective way to reduce hi fertility,Migration,population movement ranks with population growth as sources of social conflict,Catastrophic Risks,"in effect, population growth stresses various global systems -- energy consumption, agriculture, water supplies, etc.  it is not growth per se, but growth (especially in Africa) that is coupled with poverty and lack of development",Urbanization,population growth is nearly always associated with rapid urbanization.,Africa,that's where it is happening,South-East Asia,"also, where it is happening",,,Health,pop growth and health stresses,,,,
Food Security,Business,United States of America,Climate Change,Climate will dictate future agriculture--productivity; water use and geography,Emerging Technologies,Transgenic; water and plant science advances could boost ag productivity; enhance environmental resilience and boost nutrient quality,Ocean Governance,Aquaculture-including fish and all aqua biota-will emerge as the critical protein source and could displace livestock if supported: leading to benefits for health and the environment,Chronic Diseases & Well-being,"Consumption trends associated with chronic diseases place stress on food supplies and suck grain, for example, into livestock depriving it from being available for the poor to eat; and continued palm production constitutes a massive health and deforestation risk",,,China,,Africa,,India,,Health,,Consumer,,Logistics & Supply Chain,
Real Estate,Business,Germany,Population Growth,Growth of population directly influences the necessity to provide affordable housing and appropriate infrastructure for any kind of business development.,Urbanization,Urbanization is a challange for the real estate industry to anticipate private and business demands in order to secure healthy living conditions and provide an acceptable working and business environment.,Climate Change,Sustainable housing programs and green buidling concepts help reduce clima change and its negative impacts.,,,,,Africa,It is a human right to live in healthy conditions and on the basis of accaptable (minimum) standards. Real estate must provide answers to secure this ultimate human right.,Europe & Central Asia,"Mature real estate markets with reduced space for further developments require intelligent conversion programs and effective, sustainable constructions methods.",,,Banking & Capital Markets,Effective and reliable financing schemes are a key driver for real estate developments and innovative construction methods. Financing the real estate market secures economic growth as well as employment.,Public & Institutional Investors,Real Estate also requires investors (public or private) who enable projects by taking specific risks and realizing economic chances. Real estate must approach and communicate with such entrepreneurs in a transparent and effective way.,,
